名前,No/ぜんこく,No/セントラル,タイプ/0,タイプ/1,進化/0/Lv,進化/0/名前,進化/1/Lv,進化/1/名前,進化/2/Lv,進化/2/名前,種族値/H,種族値/A,種族値/B,種族値/C,種族値/D,種族値/S,種族値/平均,種族値/合計,努力値/H,努力値/A,努力値/B,努力値/C,努力値/D,努力値/S,隠しデータ/捕獲率,隠しデータ/初期なつき,隠しデータ/オス率,隠しデータ/メス率,タマゴ/歩数,タマゴ/グループ/0,タマゴ/グループ/1,特性/通常/0/名前,特性/通常/0/説明,特性/隠れ/名前,特性/隠れ/説明,特性/通常/1/名前,特性/通常/1/説明,No/マウンテン/str,No/マウンテン/num,No/ホウエン/str,No/ホウエン/num,No/コースト/str,No/コースト/num,進化/3/Lv,進化/3/名前,進化/4/Lv,進化/4/名前,進化/5/Lv,進化/5/名前,進化/6/Lv,進化/6/名前,進化/7/Lv,進化/7/名前,進化/8/Lv,進化/8/名前,特性/通常/2/名前,特性/通常/2/説明
フシギダネ,001,080,くさ,どく,1,フシギダネ,16,フシギソウ,32,フシギバナ,45,49,49,65,65,45,53,318,0,0,0,1,0,0,45,70,87.5,12.5,5120,怪獣,植物,しんりょく,HPが1/3以下の時、『くさ』タイプの技の威力が1.5倍になる。,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,,,,,,,,,,,,,,,,,,,,,,
フシギソウ,002,081,くさ,どく,1,フシギダネ,16,フシギソウ,32,フシギバナ,60,62,63,80,80,60,67.5,405,0,0,0,1,1,0,45,70,87.5,12.5,5120,怪獣,植物,しんりょく,HPが1/3以下の時、『くさ』タイプの技の威力が1.5倍になる。,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,,,,,,,,,,,,,,,,,,,,,,
フシギバナ,003,082,くさ,どく,1,フシギダネ,16,フシギソウ,32,フシギバナ,80,82,83,100,100,80,87.5,525,0,0,0,2,1,0,45,70,87.5,12.5,5120,怪獣,植物,しんりょく,HPが1/3以下の時、『くさ』タイプの技の威力が1.5倍になる。,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,,,,,,,,,,,,,,,,,,,,,,
メガフシギバナ,003,082,くさ,どく,1,フシギダネ,16,フシギソウ,32,フシギバナ,80,100,123,122,120,80,104.2,625,0,0,0,2,1,0,45,70,87.5,12.5,5120,怪獣,植物,あついしぼう,『ほのお』『こおり』タイプの技を受けた時、ダメージが半減する。,,,,,,,,,,,,,,,,,,,,,,,,
ヒトカゲ,004,083,ほのお,,1,ヒトカゲ,16,リザード,36,リザードン,39,52,43,60,50,65,51.5,309,0,0,0,0,0,1,45,70,87.5,12.5,5120,怪獣,ドラゴン,もうか,HPが1/3以下の時、『ほのお』タイプの技の威力が1.5倍になる。,サンパワー,天気が『ひざしがつよい』の時、『とくこう』が1.5倍になるが、毎ターン終了時に最大HPの1/8のダメージを受ける。,,,,,,,,,,,,,,,,,,,,,,
リザード,005,084,ほのお,,1,ヒトカゲ,16,リザード,36,リザードン,58,64,58,80,65,80,67.5,405,0,0,0,1,0,1,45,70,87.5,12.5,5120,怪獣,ドラゴン,もうか,HPが1/3以下の時、『ほのお』タイプの技の威力が1.5倍になる。,サンパワー,天気が『ひざしがつよい』の時、『とくこう』が1.5倍になるが、毎ターン終了時に最大HPの1/8のダメージを受ける。,,,,,,,,,,,,,,,,,,,,,,
リザードン,006,085,ほのお,ひこう,1,ヒトカゲ,16,リザード,36,リザードン,78,84,78,109,85,100,89,534,0,0,0,3,0,0,45,70,87.5,12.5,5120,怪獣,ドラゴン,もうか,HPが1/3以下の時、『ほのお』タイプの技の威力が1.5倍になる。,サンパワー,天気が『ひざしがつよい』の時、『とくこう』が1.5倍になるが、毎ターン終了時に最大HPの1/8のダメージを受ける。,,,,,,,,,,,,,,,,,,,,,,
メガリザードンX,006,085,ほのお,ドラゴン,1,ヒトカゲ,16,リザード,36,リザードン,78,130,111,130,85,100,105.7,634,0,0,0,3,0,0,45,70,87.5,12.5,5120,怪獣,ドラゴン,かたいツメ,直接攻撃する技の威力が1.3倍になる。,,,,,,,,,,,,,,,,,,,,,,,,
メガリザードンY,006,085,ほのお,ひこう,1,ヒトカゲ,16,リザード,36,リザードン,78,104,78,159,115,100,105.7,634,0,0,0,3,0,0,45,70,87.5,12.5,5120,怪獣,ドラゴン,ひでり,戦闘に出ると5ターンの間、天気が『ひざしがつよい』になる。,,,,,,,,,,,,,,,,,,,,,,,,
ゼニガメ,007,086,みず,,1,ゼニガメ,16,カメール,36,カメックス,44,48,65,50,64,43,52.3,314,0,0,1,0,0,0,45,70,87.5,12.5,5120,怪獣,水中1,げきりゅう,HPが1/3以下の時、『みず』タイプの技の威力が1.5倍になる。,あめうけざら,天気が『あめ』の時毎ターン、HPが最大HPの1/16回復する。,,,,,,,,,,,,,,,,,,,,,,
